date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:53:43	8061/8061	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Sep%202020%2021:53:42%20GMT	https://artonthehill.org.uk/artists-2019/james-lynch/	/Users/jonnycundall/websites/aoth-static-2/artonthehill.org.uk/artists-2019/james-lynch/index.html	(from https://artonthehill.org.uk/artists-2019/)
22:53:43	9050/9050	---M--	200	added ('OK')	image/jpeg	etag:%22e142cfc22417d51:0%22	https://artonthehill.org.uk/media/1527/tomlietzau118gl06_bath-1000px.jpg?anchor=center&mode=crop&width=100&height=100&rnd=132037226080000000	/Users/jonnycundall/websites/aoth-static-2/artonthehill.org.uk/media/1527/tomlietzau118gl06_bath-1000pxa816.jpg	(from https://artonthehill.org.uk/artists-2019/)
22:53:44	8484/8484	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Sep%202020%2021:53:44%20GMT	https://artonthehill.org.uk/artists-2019/tom-lietzau/	/Users/jonnycundall/websites/aoth-static-2/artonthehill.org.uk/artists-2019/tom-lietzau/index.html	(from https://artonthehill.org.uk/artists-2019/)
22:53:44	6488/6488	---M--	200	added ('OK')	image/jpeg	etag:%22927c27be45bd51:0%22	https://artonthehill.org.uk/media/1510/evathyghojimg_2443.jpg?anchor=center&mode=crop&width=100&height=100&rnd=132024153700000000	/Users/jonnycundall/websites/aoth-static-2/artonthehill.org.uk/media/1510/evathyghojimg_2443c21a.jpg	(from https://artonthehill.org.uk/artists-2019/)
22:53:45	8336/8336	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Sep%202020%2021:53:45%20GMT	https://artonthehill.org.uk/artists-2019/eva-thyghoj/	/Users/jonnycundall/websites/aoth-static-2/artonthehill.org.uk/artists-2019/eva-thyghoj/index.html	(from https://artonthehill.org.uk/artists-2019/)
22:53:46	20775/20775	---M--	200	added ('OK')	image/jpeg	etag:%2226cbed59d8d51:0%22	https://artonthehill.org.uk/media/1484/yukikohosomi3ca8af89-8850-41a0-9046-4c71887c1c10.jpeg?anchor=center&mode=crop&width=100&height=100&rnd=132020619490000000	/Users/jonnycundall/websites/aoth-static-2/artonthehill.org.uk/media/1484/yukikohosomi3ca8af89-8850-41a0-9046-4c71887c1c108e49.jpg	(from https://artonthehill.org.uk/artists-2019/)
22:53:46	8449/8449	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Sep%202020%2021:53:46%20GMT	https://artonthehill.org.uk/artists-2019/yukiko-hosomi/	/Users/jonnycundall/websites/aoth-static-2/artonthehill.org.uk/artists-2019/yukiko-hosomi/index.html	(from https://artonthehill.org.uk/artists-2019/)
22:53:47	11226/11226	---M--	200	added ('OK')	image/jpeg	etag:%22f36aac68b82dd51:0%22	https://artonthehill.org.uk/media/1564/tessafitzjohnimg_0459.jpg?anchor=center&mode=crop&width=100&height=100&rnd=132061981650000000	/Users/jonnycundall/websites/aoth-static-2/artonthehill.org.uk/media/1564/tessafitzjohnimg_04595567.jpg	(from https://artonthehill.org.uk/artists-2019/)
22:53:47	8220/8220	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Sep%202020%2021:53:47%20GMT	https://artonthehill.org.uk/artists-2019/tessa-fitzjohn/	/Users/jonnycundall/websites/aoth-static-2/artonthehill.org.uk/artists-2019/tessa-fitzjohn/index.html	(from https://artonthehill.org.uk/artists-2019/)
22:53:48	20521/20521	---M--	200	added ('OK')	image/jpeg	etag:%2220e91ce393aad41:0%22	https://artonthehill.org.uk/media/1274/aniellereenwoodvlmsticker.jpg?anchor=center&mode=crop&width=100&height=100&rnd=131695139530000000	/Users/jonnycundall/websites/aoth-static-2/artonthehill.org.uk/media/1274/aniellereenwoodvlmsticker96c0.jpg	(from https://artonthehill.org.uk/artists-2019/)
22:53:48	8423/8423	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Sep%202020%2021:53:47%20GMT	https://artonthehill.org.uk/artists-2019/danielle-greenwood/	/Users/jonnycundall/websites/aoth-static-2/artonthehill.org.uk/artists-2019/danielle-greenwood/index.html	(from https://artonthehill.org.uk/artists-2019/)
22:53:49	54863/54863	---M--	200	added ('OK')	image/jpeg	etag:%2231086d59d8d51:0%22	https://artonthehill.org.uk/media/1465/wendabartlettleaping-hare.jpg?anchor=center&mode=crop&width=100&height=100&rnd=132016493420000000	/Users/jonnycundall/websites/aoth-static-2/artonthehill.org.uk/media/1465/wendabartlettleaping-haref06e.jpg	(from https://artonthehill.org.uk/artists-2019/)
22:53:49	26496/26496	---M--	200	added ('OK')	application/pdf	etag:%225ea388b59173d41:0%22	https://artonthehill.org.uk/media/1420/windmill_instructions.pdf	/Users/jonnycundall/websites/aoth-static-2/artonthehill.org.uk/media/1420/windmill_instructions.pdf	(from https://artonthehill.org.uk/exhibitors-resources/)
22:53:50	8288/8288	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Sep%202020%2021:53:49%20GMT	https://artonthehill.org.uk/artists-2019/wenda-bartlett/	/Users/jonnycundall/websites/aoth-static-2/artonthehill.org.uk/artists-2019/wenda-bartlett/index.html	(from https://artonthehill.org.uk/artists-2019/)
22:53:50	9050/9050	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Sep%202020%2021:53:49%20GMT	https://artonthehill.org.uk/take-part/performers-preamble/	/Users/jonnycundall/websites/aoth-static-2/artonthehill.org.uk/take-part/performers-preamble/index.html	(from https://artonthehill.org.uk/performers/)
22:53:50	10507/10507	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Sep%202020%2021:53:49%20GMT	https://artonthehill.org.uk/take-part/run-a-workshop/	/Users/jonnycundall/websites/aoth-static-2/artonthehill.org.uk/take-part/run-a-workshop/index.html	(from https://artonthehill.org.uk/workshops/)
22:53:50	86844/86844	---M--	200	added ('OK')	application/pdf	etag:%226fd4b944fe76d51:0%22	https://artonthehill.org.uk/media/1599/advice-for-participants-2019.pdf	/Users/jonnycundall/websites/aoth-static-2/artonthehill.org.uk/media/1599/advice-for-participants-2019.pdf	(from https://artonthehill.org.uk/exhibitors-resources/)
22:53:51	41829/41829	---M--	200	added ('OK')	application/pdf	etag:%22f24817e24267d51:0%22	https://artonthehill.org.uk/media/1597/2019-liability-notice.pdf	/Users/jonnycundall/websites/aoth-static-2/artonthehill.org.uk/media/1597/2019-liability-notice.pdf	(from https://artonthehill.org.uk/exhibitors-resources/)
22:53:53	530358/530358	---M--	200	added ('OK')	application/pdf	etag:%22dac347fbfe76d51:0%22	https://artonthehill.org.uk/media/1600/venuenumber-no-year.pdf	/Users/jonnycundall/websites/aoth-static-2/artonthehill.org.uk/media/1600/venuenumber-no-year.pdf	(from https://artonthehill.org.uk/exhibitors-resources/)
22:53:54	316289/316289	---M--	200	added ('OK')	application/pdf	etag:%2249c79ca24267d51:0%22	https://artonthehill.org.uk/media/1596/aoth-advert-2019-08-26.pdf	/Users/jonnycundall/websites/aoth-static-2/artonthehill.org.uk/media/1596/aoth-advert-2019-08-26.pdf	(from https://artonthehill.org.uk/exhibitors-resources/)
22:53:54	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2015%20Sep%202020%2021:53:53%20GMT	https://artonthehill.org.uk/venues-2019/favicon.ico	/Users/jonnycundall/websites/aoth-static-2/artonthehill.org.uk/venues-2019/favicon.67.delayed	(from https://artonthehill.org.uk/venues-2019/windmill-hill-community-centre/)
22:53:55	11117/11117	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Sep%202020%2021:53:53%20GMT	https://artonthehill.org.uk/take-part/register-as-a-venue/	/Users/jonnycundall/websites/aoth-static-2/artonthehill.org.uk/take-part/register-as-a-venue/index.html	(from https://artonthehill.org.uk/take-part/)
22:53:55	46554/46554	---M--	200	added ('OK')	image/jpeg	etag:%22214f5f9fedd41:0%22	https://artonthehill.org.uk/media/1440/whcc.jpg	/Users/jonnycundall/websites/aoth-static-2/artonthehill.org.uk/media/1440/whcc.jpg	(from https://artonthehill.org.uk/venues-2019/windmill-hill-community-centre/)
22:53:56	19331/19331	---M--	200	added ('OK')	image/jpeg	etag:%2250ae30fafedd41:0%22	https://artonthehill.org.uk/media/1441/641victoria-baptist-church-elim-2.jpg	/Users/jonnycundall/websites/aoth-static-2/artonthehill.org.uk/media/1441/641victoria-baptist-church-elim-2.jpg	(from https://artonthehill.org.uk/venues-2019/victoria-park-baptist-church/)
22:53:57	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2015%20Sep%202020%2021:53:57%20GMT	https://artonthehill.org.uk/artists-2019/favicon.ico	/Users/jonnycundall/websites/aoth-static-2/artonthehill.org.uk/artists-2019/favicon.6a.delayed	(from https://artonthehill.org.uk/artists-2019/abigail-vedoey/)
22:54:00	859394/859394	---M--	200	added ('OK')	image/png	etag:%223b9d62afc2bd51:0%22	https://artonthehill.org.uk/media/1553/abigailvedygabriel.png?anchor=center&mode=crop&width=540&height=540&rnd=132058682160000000	/Users/jonnycundall/websites/aoth-static-2/artonthehill.org.uk/media/1553/abigailvedygabriel9d0f.png	(from https://artonthehill.org.uk/artists-2019/abigail-vedoey/)
22:54:00	59238/59238	---M--	200	added ('OK')	image/jpeg	etag:%22a1dd77504924d51:0%22	https://artonthehill.org.uk/media/1539/alexmaxwell20190604_070829.jpg?anchor=center&mode=crop&width=540&height=540&rnd=132045542690000000	/Users/jonnycundall/websites/aoth-static-2/artonthehill.org.uk/media/1539/alexmaxwell20190604_070829bf7b.jpg	(from https://artonthehill.org.uk/artists-2019/alex-maxwell/)
22:54:01	102466/102466	---M--	200	added ('OK')	image/jpeg	etag:%22fe882c5de8d51:0%22	https://artonthehill.org.uk/media/1467/alisonkjellstromb6a57b7b-38ae-4455-882f-37f8234663c6.jpeg?anchor=center&mode=crop&width=540&height=540&rnd=132016539930000000	/Users/jonnycundall/websites/aoth-static-2/artonthehill.org.uk/media/1467/alisonkjellstromb6a57b7b-38ae-4455-882f-37f8234663c6919c.jpg	(from https://artonthehill.org.uk/artists-2019/alison-kjellstrom/)
22:54:01	42568/42568	---M--	200	added ('OK')	image/jpeg	etag:%22228a764b8b2ad51:0%22	https://artonthehill.org.uk/media/1552/andrewbrookssound-installation.jpg?anchor=center&mode=crop&width=540&height=540&rnd=132058549390000000	/Users/jonnycundall/websites/aoth-static-2/artonthehill.org.uk/media/1552/andrewbrookssound-installationa483.jpg	(from https://artonthehill.org.uk/artists-2019/andrew-brooks/)
22:54:02	55882/55882	---M--	200	added ('OK')	image/jpeg	etag:%22e18f94c7de8d51:0%22	https://artonthehill.org.uk/media/1462/annafindlay20160923_170644-1-2-1.jpg?anchor=center&mode=crop&width=540&height=540&rnd=132016253450000000	/Users/jonnycundall/websites/aoth-static-2/artonthehill.org.uk/media/1462/annafindlay20160923_170644-1-2-1e718.jpg	(from https://artonthehill.org.uk/artists-2019/anna-findlay/)
